season,period_end_date,region,crush_tonnes
22-23,2022-11-01,sao_paulo,19490694
22-23,2022-11-16,other_states,10000542
22-23,2022-11-16,sao_paulo,16323862
22-23,2022-12-01,other_states,8005540
22-23,2022-12-01,sao_paulo,8349751
22-23,2022-12-16,other_states,3481015
22-23,2022-12-16,sao_paulo,2061627
22-23,2023-01-01,other_states,1745508
22-23,2023-01-01,sao_paulo,963136
22-23,2023-01-16,other_states,439833
22-23,2023-01-16,sao_paulo,0
22-23,2023-02-01,other_states,307297
22-23,2023-02-01,sao_paulo,0
22-23,2023-02-16,other_states,73179
22-23,2023-02-16,sao_paulo,0
22-23,2023-03-01,other_states,54314
22-23,2023-03-01,sao_paulo,17480
22-23,2023-03-16,other_states,383059
22-23,2023-03-16,sao_paulo,222235
22-23,2023-04-01,other_states,2570319
22-23,2023-04-01,sao_paulo,2165601
23-24,2023-04-16,other_states,6673374
23-24,2023-04-16,sao_paulo,7182000
23-24,2023-05-01,other_states,9115488
23-24,2023-05-01,sao_paulo,12320051
23-24,2023-05-16,other_states,17857891
23-24,2023-05-16,sao_paulo,26700658
23-24,2023-06-01,other_states,18857959
23-24,2023-06-01,sao_paulo,27912557
23-24,2023-06-16,other_states,17780950
23-24,2023-06-16,sao_paulo,22887812
23-24,2023-07-01,other_states,18890297
23-24,2023-07-01,sao_paulo,24304183
23-24,2023-07-16,other_states,20169595
23-24,2023-07-16,sao_paulo,28373941
23-24,2023-08-01,other_states,21982196
23-24,2023-08-01,sao_paulo,31112557
23-24,2023-08-16,other_states,19556236
23-24,2023-08-16,sao_paulo,28384821
23-24,2023-09-01,other_states,18839811
23-24,2023-09-01,sao_paulo,27742788
23-24,2023-09-16,other_states,16693638
23-24,2023-09-16,sao_paulo,25209653
23-24,2023-10-01,other_states,18352730
23-24,2023-10-01,sao_paulo,26599565
23-24,2023-10-16,other_states,14852341
23-24,2023-10-16,sao_paulo,18075225
23-24,2023-11-01,other_states,14294707
23-24,2023-11-01,sao_paulo,20364201
23-24,2023-11-16,other_states,12695948
23-24,2023-11-16,sao_paulo,22187467
23-24,2023-12-01,other_states,7997285
23-24,2023-12-01,sao_paulo,15999892
23-24,2023-12-16,other_states,5587963
23-24,2023-12-16,sao_paulo,13726798
23-24,2024-01-01,other_states,1688673
23-24,2024-01-01,sao_paulo,3233197
23-24,2024-01-16,other_states,583669
23-24,2024-01-16,sao_paulo,526639
23-24,2024-02-01,other_states,287749
23-24,2024-02-01,sao_paulo,422015
23-24,2024-02-16,other_states,353029
23-24,2024-02-16,sao_paulo,195555
23-24,2024-03-01,other_states,383494
23-24,2024-03-01,sao_paulo,168238
23-24,2024-03-16,other_states,875904
23-24,2024-03-16,sao_paulo,1347975
23-24,2024-04-01,other_states,2475667
23-24,2024-04-01,sao_paulo,2624785
24-25,2024-04-16,other_states,5674389
24-25,2024-04-16,sao_paulo,10442554
24-25,2024-05-01,other_states,13387084
24-25,2024-05-01,sao_paulo,21611246
24-25,2024-05-16,other_states,18855351
24-25,2024-05-16,sao_paulo,26209171
24-25,2024-06-01,other_states,18657138
24-25,2024-06-01,sao_paulo,26702560
24-25,2024-06-16,other_states,20681308
24-25,2024-06-16,sao_paulo,28716040
24-25,2024-07-01,other_states,20718716
24-25,2024-07-01,sao_paulo,28289523
24-25,2024-07-16,other_states,18026926
