season,period_end_date,region,sugar_tonnes
24-25,2024-04-16,sao_paulo,505820
24-25,2024-05-01,other_states,568750
24-25,2024-05-01,sao_paulo,1284081
24-25,2024-05-16,other_states,855492
24-25,2024-05-16,sao_paulo,1728535
24-25,2024-06-01,other_states,885743
24-25,2024-06-01,sao_paulo,1825414
24-25,2024-06-16,other_states,1063655
24-25,2024-06-16,sao_paulo,2082562
24-25,2024-07-01,other_states,1116278
24-25,2024-07-01,sao_paulo,2152862
24-25,2024-07-16,other_states,1000679
24-25,2024-07-16,sao_paulo,1959658
24-25,2024-08-01,other_states,1273403
24-25,2024-08-01,sao_paulo,2369779
24-25,2024-08-16,other_states,1151832
24-25,2024-08-16,sao_paulo,1965929
24-25,2024-09-01,other_states,1197308
24-25,2024-09-01,sao_paulo,2078385
24-25,2024-09-16,other_states,1153190
24-25,2024-09-16,sao_paulo,1976861
24-25,2024-10-01,other_states,995640
24-25,2024-10-01,sao_paulo,1836635
24-25,2024-10-16,other_states,860404
24-25,2024-10-16,sao_paulo,1593129
24-25,2024-11-01,other_states,652311
24-25,2024-11-01,sao_paulo,1123882
24-25,2024-11-16,other_states,391034
24-25,2024-11-16,sao_paulo,513289
24-25,2024-12-01,other_states,345988
24-25,2024-12-01,sao_paulo,733800
